0.05,-0.30,0.95,0
0.07,-0.25,0.95,0
0.05,-0.17,0.98,0
0.06,-0.12,0.97,0
0.06,-0.19,0.97,0
0.05,-0.17,0.97,0
0.03,-0.20,0.98,0
0.03,-0.20,0.97,0
0.05,-0.28,0.96,0
0.05,-0.26,0.96,0
0.03,-0.24,0.97,0
0.04,-0.26,0.96,0
0.05,-0.29,0.95,0
0.05,-0.24,0.97,0
0.03,-0.20,0.97,0
0.04,-0.21,0.97,0
0.04,-0.24,0.97,0
0.05,-0.20,0.97,0
0.06,-0.19,0.97,0
0.07,-0.17,0.96,0
0.06,-0.21,0.97,0
0.03,-0.23,0.97,0
0.03,-0.29,0.96,0
0.03,-0.31,0.96,1
0.03,-0.27,0.96,1
0.04,-0.25,0.97,1
0.06,-0.23,0.96,1
0.06,-0.22,0.96,1
0.05,-0.18,0.97,0
0.05,-0.22,0.97,0
0.05,-0.22,0.96,0
0.05,-0.22,0.97,0
0.04,-0.19,0.97,0
0.04,-0.24,0.97,0
0.05,-0.28,0.96,1
0.04,-0.30,0.96,1
